objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23765E+18,242.6457385,-1.228980303,19.04211,17.91899,17.44339,17.09921,16.96647,3.88472E+17,GALAXY,0.06949467
1.23765E+18,242.8877746,-1.1980683,19.02619,17.68067,17.10424,16.74693,16.54543,3.88461E+17,GALAXY,0.04365295
1.23765E+18,242.8290271,-1.222132335,18.72002,17.53242,17.03996,16.6783,16.52227,3.88459E+17,GALAXY,0.07083251
1.23765E+18,242.8442696,-1.231682721,19.25071,18.10252,17.63223,17.35456,17.23234,3.88461E+17,GALAXY,0.07017241
1.23765E+18,243.0581093,-1.073625013,19.48677,18.22789,17.69179,17.36511,17.17958,3.8845E+17,GALAXY,0.04280972
1.23765E+18,243.2130214,-1.130623499,18.91267,17.09834,16.16895,15.68185,15.30876,3.88447E+17,GALAXY,0.04927764
1.23765E+18,183.6837165,-0.395313232,17.34593,16.16585,15.68403,15.49652,15.38112,3.72226E+18,STAR,2.73E-06
1.23765E+18,183.6932074,-0.220972626,18.7236,17.64976,17.21809,17.05309,16.97286,3.63696E+17,STAR,4.01E-05
1.23765E+18,183.7124384,-0.271247254,16.74271,15.72396,15.35649,15.21082,15.13628,3.72226E+18,STAR,0.000849436
1.23765E+18,183.6295873,-0.37863143,19.25767,18.23024,17.77075,17.48002,17.3504,3.24345E+17,GALAXY,0.122218
1.23765E+18,183.8270576,-0.405609474,19.47554,17.73802,17.03194,16.73084,16.55039,3.72225E+18,STAR,0.000551214
1.23765E+18,183.8339695,-0.398050255,18.5283,16.9418,16.35994,16.02375,15.71289,3.24346E+17,GALAXY,0.02078613
1.23765E+18,183.8486157,-0.330918949,19.0516,17.59235,16.766,16.37736,16.04179,3.24346E+17,GALAXY,0.1208378
1.23765E+18,183.7988171,-0.40010637,18.15787,17.07919,16.73521,16.63482,16.51228,3.23175E+17,GALAXY,0.02087503
1.23765E+18,183.9164643,-0.323746638,18.69441,17.77649,17.47822,17.4196,17.34867,3.72225E+18,STAR,0.000576769
1.23765E+18,183.9986391,-0.294081253,17.50332,16.49389,16.07529,15.91012,15.82738,3.23166E+17,STAR,0.000764086
1.23765E+18,184.0641167,-0.295371157,17.8041,16.61079,16.16437,16.02581,15.95671,3.23164E+17,STAR,0.000160793
1.23765E+18,184.1435681,-0.302391918,18.01475,16.57148,16.00959,15.77342,15.67464,3.72224E+18,STAR,3.04E-05
1.23765E+18,184.1685339,-0.329587065,19.39528,18.41646,18.1353,18.03432,18.02707,3.72224E+18,STAR,0.000320251
1.23765E+18,184.2945469,-0.346909374,17.48398,16.31935,15.90973,15.75751,15.70039,3.72223E+18,STAR,4.15E-05
1.23765E+18,184.3088169,-0.354452314,18.9849,17.79852,17.37066,17.18238,17.13227,3.63671E+17,STAR,8.18E-05
1.23765E+18,184.260278,-0.317627573,18.69438,17.65455,17.29097,17.00188,16.93303,3.24336E+17,GALAXY,0.06240619
1.23765E+18,184.3889363,-0.315995215,19.05956,17.71527,17.15119,16.92668,16.85464,3.72224E+18,STAR,0.000574494
1.23765E+18,184.4508699,-0.313258834,17.21492,15.74852,15.1818,14.94795,14.83758,3.72223E+18,STAR,8.71E-05
1.23765E+18,184.3766573,-0.231992214,18.94292,17.89739,17.43994,17.14471,16.93739,3.23144E+17,GALAXY,0.03393133
1.23765E+18,184.4684805,-0.362120826,17.55392,15.89003,15.11452,14.71822,14.39248,3.23142E+17,GALAXY,0.04032281
1.23765E+18,184.4971614,-0.3331107,18.73461,17.50934,16.92226,16.58426,16.38179,3.23144E+17,GALAXY,0.07144404
1.23765E+18,184.5670888,-0.26694974,16.08275,14.75951,14.29764,14.10716,14.06196,2.8801E+18,GALAXY,0
1.23765E+18,184.5443772,-0.248444454,19.23208,18.0236,17.50595,17.26922,17.15398,3.72239E+18,STAR,0.000952722
1.23765E+18,184.6407212,-0.411852939,19.45165,17.97391,17.17748,16.68635,16.39936,3.24311E+17,GALAXY,0.1079633
1.23765E+18,184.6676258,-0.256469243,17.6073,15.86177,14.9941,14.56952,14.20508,3.24314E+17,GALAXY,0.07977457
1.23765E+18,184.7431227,-0.368792408,19.09011,18.36271,18.14853,17.89309,17.97664,3.24312E+17,GALAXY,0.1027977
1.23765E+18,184.8368893,-0.241537684,18.50986,16.7641,16.03627,15.64596,15.33152,3.24307E+17,GALAXY,0.05043545
1.23765E+18,184.8524478,-0.294097403,18.04692,17.05355,16.71546,16.54309,16.36159,3.24307E+17,GALAXY,0.03897807
1.23765E+18,185.1736191,-0.383077774,17.36194,16.19216,15.83601,15.70586,15.69817,2.88013E+18,STAR,0.000126792
1.23765E+18,185.4360535,-0.266891283,18.13875,17.05503,16.69254,16.5688,16.54955,2.89137E+18,STAR,0.000502238
1.23765E+18,185.4556197,-0.211236709,18.47038,16.87137,16.30234,16.09953,16.02788,2.88012E+18,STAR,1.27E-05
1.23765E+18,185.4621865,-0.353848171,18.34395,16.19043,15.45629,15.21168,15.12749,2.88011E+18,STAR,2.40E-05
1.23765E+18,185.5295039,-0.363862449,18.34458,17.02294,16.53276,16.33753,16.27815,2.88011E+18,STAR,3.00E-05
1.23765E+18,185.6185711,-0.365219646,18.21676,17.26715,16.92721,16.81066,16.76025,2.88012E+18,STAR,0.000311806
1.23765E+18,185.7953327,-0.282744749,18.18394,17.0164,16.81375,16.73615,16.72193,2.88011E+18,STAR,0.000314361
1.23765E+18,185.8216177,-0.342052504,18.60915,17.0705,16.49681,16.29349,16.22475,2.8801E+18,STAR,0.000118712
1.23765E+18,185.7194748,-0.307260057,19.31843,18.06055,17.59505,17.30064,17.15932,3.24276E+17,GALAXY,0.1072253
1.23765E+18,185.7496962,-0.293087572,19.01232,18.03671,17.70568,17.55776,17.48117,3.2547E+17,GALAXY,0.03024547
1.23765E+18,185.8999983,-0.261068572,19.40635,16.89027,15.84331,15.48278,15.40131,2.88011E+18,STAR,3.12E-05
1.23765E+18,186.0630054,-0.383730067,17.24687,16.21049,16.18936,16.22862,16.30079,2.8801E+18,STAR,0.001258611
1.23765E+18,186.0829724,-0.227430241,18.80058,17.6041,17.3491,17.27336,17.23848,3.24266E+17,STAR,0.000690602
1.23765E+18,186.0915886,-0.280880735,17.6888,16.27396,15.74296,15.55057,15.47986,2.8801E+18,STAR,9.00E-05
1.23765E+18,186.095609,-0.305421545,18.15803,17.50762,17.25705,17.17244,17.18857,2.8801E+18,QSO,0.000460623
1.23765E+18,186.1444474,-0.215865168,18.9944,18.05957,17.78465,17.6944,17.66945,2.89135E+18,STAR,8.33E-05
1.23765E+18,186.146709,-0.302539878,18.96439,18.1106,17.83865,17.73008,17.72899,4.33022E+18,STAR,0.000975591
1.23765E+18,186.2132863,-0.304115175,18.70601,16.847,16.12733,15.86509,15.71564,2.8801E+18,STAR,1.79E-05
1.23765E+18,186.2451768,-0.244158922,18.78115,17.60725,17.00784,16.67363,16.47247,3.24267E+17,GALAXY,0.102797
1.23765E+18,186.3364409,-0.381788469,18.0683,17.10536,16.78986,16.63788,16.60825,2.88009E+18,STAR,0.000704596
1.23765E+18,186.4592827,-0.360506862,18.65965,17.41861,16.93038,16.74993,16.70262,3.25451E+17,STAR,2.98E-05
1.23765E+18,186.5087441,-0.281930427,19.20754,18.28202,17.98328,17.86095,17.85651,4.3314E+18,STAR,0.000324508
1.23765E+18,186.5164786,-0.313974108,18.22266,16.50616,15.61944,15.14893,14.75827,3.25446E+17,GALAXY,0.07950722
1.23765E+18,186.61695,-0.347562099,16.99398,15.45777,14.85249,14.65483,14.59267,2.88008E+18,STAR,7.64E-05
1.23765E+18,186.715253,-0.283174148,18.34613,17.00985,16.45423,16.20849,16.08167,2.88008E+18,STAR,0.000348658
1.23765E+18,186.8339273,-0.407091525,18.53603,16.75793,15.95191,15.68838,15.56231,2.88008E+18,STAR,0.000174325
1.23765E+18,186.8551188,-0.247902955,16.81627,15.86671,15.60739,15.52398,15.50502,2.88008E+18,STAR,0.00073977
1.23765E+18,186.8805488,-0.33764228,17.60926,16.39122,15.94435,15.77585,15.7464,2.88008E+18,STAR,9.53E-05
1.23765E+18,186.7616545,-0.323730054,19.38366,17.59174,16.48701,16.01113,15.61958,3.25436E+17,GALAXY,0.1161036
1.23765E+18,186.808715,-0.217558113,19.43139,17.82774,17.22333,16.96279,16.87343,2.88008E+18,STAR,0.000151828
1.23765E+18,186.8272861,-0.407943083,19.34182,17.66538,17.00082,16.71934,16.48099,3.25438E+17,GALAXY,0.1140467
1.23765E+18,186.9043654,-0.384038059,18.63549,16.46693,15.41218,14.96505,14.61283,3.25434E+17,GALAXY,0.1154682
1.23765E+18,186.9752944,-0.362678835,18.72033,17.31376,16.70973,16.42135,16.27131,2.88007E+18,STAR,0.000387916
1.23765E+18,187.013876,-0.353682412,17.95116,16.55886,15.97855,15.71685,15.58599,2.88007E+18,STAR,0.001140381
1.23765E+18,187.0412897,-0.394555365,19.4727,18.23861,17.81143,17.64887,17.60911,2.89132E+18,STAR,0.000312288
1.23765E+18,187.1529361,-0.273362927,18.11581,16.61269,15.94747,15.59383,15.32936,3.25426E+17,GALAXY,0.06172443
1.23765E+18,187.0723765,-0.302509171,19.48419,18.57758,18.36506,18.27688,18.31402,2.89132E+18,STAR,0.000302488
1.23765E+18,187.2765953,-0.318883357,17.1392,16.0251,15.64313,15.5265,15.4969,2.89132E+18,STAR,6.51E-05
1.23765E+18,187.2870414,-0.331734318,17.90736,16.84209,16.47728,16.35394,16.32675,2.89132E+18,STAR,7.96E-05
1.23765E+18,187.3960063,-0.4095614,18.39351,17.11561,17.32048,17.48772,17.59923,2.88006E+18,STAR,0.000596047
1.23765E+18,187.5461509,-0.249054072,19.08506,17.88711,17.30847,16.93899,16.77227,3.25418E+17,GALAXY,0.09027144
1.23765E+18,187.5919519,-0.310501334,16.62628,15.70989,15.46504,15.36764,15.36295,3.25402E+17,STAR,0.00010088
1.23765E+18,187.5969788,-0.295471165,18.75433,17.68334,17.27634,17.12494,17.09057,3.25404E+17,STAR,0.000290497
1.23765E+18,197.4061674,0.127183232,18.9843,17.99584,17.38561,17.02946,16.80828,3.31168E+17,GALAXY,0.1418375
1.23765E+18,197.4219182,0.010353696,18.95616,17.45461,16.70407,16.32387,16.09211,3.31168E+17,GALAXY,0.09509806
1.23765E+18,197.5037584,0.040193879,19.28084,18.32606,17.93536,17.77627,17.76175,8.39489E+18,STAR,0.000368224
1.23765E+18,197.5699449,0.144234428,18.24406,17.30454,17.03779,16.92361,16.90912,8.39489E+18,STAR,0.000169051
1.23765E+18,197.6532702,0.036955878,19.20199,18.00288,17.49468,17.29152,17.19157,8.3949E+18,STAR,0.000375382
1.23765E+18,197.686298,0.032090352,17.08247,15.78712,15.19969,14.84534,14.63072,3.31176E+17,GALAXY,0.04100105
1.23765E+18,197.7607793,0.0819509,18.3562,17.40799,17.09281,17.0759,17.06308,8.3949E+18,STAR,0.000136357
1.23765E+18,197.7230557,0.12733382,19.13596,17.80883,17.23292,16.8768,16.662,3.31179E+17,GALAXY,0.08269752
1.23765E+18,197.7229556,0.100795252,19.11018,17.95348,17.59488,17.34108,17.26692,3.31179E+17,GALAXY,0.04104793
1.23765E+18,197.7282067,0.179692253,18.70977,16.62203,15.64068,15.19747,14.84239,3.32235E+17,GALAXY,0.09594817
1.23765E+18,197.727346,0.063963841,19.11804,17.1312,16.1535,15.72389,15.35944,3.32236E+17,GALAXY,0.09676105
1.23765E+18,197.755118,0.0530316,18.83638,17.39555,16.49948,16.0048,15.72138,3.32239E+17,GALAXY,0.09618144
1.23765E+18,197.8293693,0.037396872,19.09867,17.81825,17.37072,17.00765,16.85605,3.31188E+17,GALAXY,0.06395097
1.23765E+18,197.84057,0.047455285,15.92995,14.91085,14.60309,14.47871,14.45617,3.26637E+18,STAR,0.000318971
1.23765E+18,197.9015198,0.12628893,18.87595,17.73546,17.73569,17.86094,17.97823,8.39491E+18,STAR,0.000427164
1.23765E+18,197.978262,0.051540793,18.15152,17.17202,16.83471,16.69203,16.66827,8.39491E+18,STAR,0.00031546
1.23765E+18,197.8374097,0.061684947,18.98199,17.73667,17.20163,16.84347,16.66492,3.32238E+17,GALAXY,0.07222124
1.23765E+18,197.8387095,0.205139353,19.33236,18.10799,17.58607,17.38719,17.28296,8.39491E+18,STAR,4.92E-05
1.23765E+18,197.8748667,0.149366005,17.81769,15.91114,15.04965,14.63468,14.33058,3.31189E+17,GALAXY,0.0637345
1.23765E+18,197.9696256,0.029829052,19.2354,17.98808,17.51303,17.21605,17.09689,3.31189E+17,GALAXY,0.08101288
1.23765E+18,198.0240338,0.049841472,17.2258,16.27387,15.98402,15.85825,15.84318,8.39492E+18,STAR,0.000247083
1.23765E+18,198.0728021,0.148816772,17.83023,16.55741,16.00142,15.74677,15.61609,8.39492E+18,STAR,0.000199423
1.23765E+18,198.0806341,0.049994678,18.29914,16.7891,16.21892,16.004,15.90297,8.39492E+18,STAR,1.79E-05
1.23765E+18,198.1085192,0.117957799,17.69349,16.68576,16.38234,16.26258,16.22414,8.39492E+18,STAR,0.000384404
1.23765E+18,198.1160451,0.031563718,18.9896,18.08139,17.81818,17.68899,17.68163,8.39478E+18,STAR,0.000473908
1.23765E+18,198.1247984,0.04719835,19.23703,17.67192,17.10418,16.88391,16.80098,8.39492E+18,STAR,1.75E-05
1.23765E+18,198.1384002,0.12943513,17.05072,16.07851,15.81025,15.72293,15.69056,8.39492E+18,STAR,0.000311404
1.23765E+18,198.2367028,0.031148367,16.82375,15.84951,15.51173,15.37295,15.32946,3.26638E+18,STAR,0.000607217
1.23765E+18,198.2452062,0.110991472,17.0993,15.57104,14.98674,14.77918,14.66958,3.26638E+18,STAR,5.88E-05
